dimension,indicador_fuente,equivalencia_indicativa_2026_gtq_millones,fuente,uso_analitico
Degradacion de suelos y tierras,0.55 por ciento del PIB anual,5544,Castañeda Sanchez et al. (2019),Contexto no aditivo
Eta e Iota,0.1 puntos porcentuales del crecimiento del PIB,1008,CEPAL (2021),Contexto no aditivo
