regla,proporcion_recuperacion,resultado_inferior_ha,resultado_superior_ha,resultado_inferior_anual_ha,resultado_superior_anual_ha
Deforestación bruta,0,244394.5698423800,244394.5698423800,61098.6424605950,61098.6424605950
Saldo ponderado por recuperación,rho20 dentro del dominio; 1 fuera,116473.2315661560,123988.0278443613,29118.3078915390,30997.0069610903
Pérdida neta institucional,1,52736.4265293600,52736.4265293600,13184.1066323400,13184.1066323400
