cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,perdida_neta_calculada_ha,perdida_bruta_anual_ha,recuperacion_bruta_anual_ha,perdida_neta_anual_ha,clasificacion_perdida_neta_reportada
13,Huehuetenango,1315,Todos Santos Cuchumatán,31.4357277300,14.0527338600,17.3829938700,Municipio,17.3829938700,7.8589319325,3.5131834650,4.3457484675,Pérdida
13,Huehuetenango,1316,San Juan Atitán,13.4708193300,0.1724679800,13.2983513500,Municipio,13.2983513500,3.3677048325,0.0431169950,3.3245878375,Pérdida
13,Huehuetenango,1317,Santa Eulalia,1081.4050057700,147.8821403600,933.5228654100,Municipio,933.5228654100,270.3512514425,36.9705350900,233.3807163525,Pérdida
13,Huehuetenango,1318,San Mateo Ixtatán,1338.8678244400,94.2441145400,1244.6237099000,Municipio,1244.6237099000,334.7169561100,23.5610286350,311.1559274750,Pérdida
13,Huehuetenango,1319,Colotenango,5.8388088800,8.8837608500,-3.0449519700,Municipio,-3.0449519700,1.4597022200,2.2209402125,-0.7612379925,Ganancia
13,Huehuetenango,1320,San Sebastián Huehuetenango,2.7604479500,1.0351484100,1.7252995400,Municipio,1.7252995400,0.6901119875,0.2587871025,0.4313248850,Pérdida
13,Huehuetenango,1321,Tectitán,11.2640539100,4.8344348400,6.4296190700,Municipio,6.4296190700,2.8160134775,1.2086087100,1.6074047675,Pérdida
13,Huehuetenango,1322,Concepción Huista,39.8545233400,3.8834704100,35.9710529300,Municipio,35.9710529300,9.9636308350,0.9708676025,8.9927632325,Pérdida
13,Huehuetenango,1323,San Juan Ixcoy,133.3336472700,77.9181558200,55.4154914500,Municipio,55.4154914500,33.3334118175,19.4795389550,13.8538728625,Pérdida
13,Huehuetenango,1324,San Antonio Huista,2.5757253000,0.1723514400,2.4033738600,Municipio,2.4033738600,0.6439313250,0.0430878600,0.6008434650,Pérdida
13,Huehuetenango,1325,San Sebastián Coatán,41.1100720100,44.2521504200,-3.1420784100,Municipio,-3.1420784100,10.2775180025,11.0630376050,-0.7855196025,Ganancia
13,Huehuetenango,1326,Barillas,3000.8787835800,2906.9685941100,93.9101894700,Municipio,93.9101894700,750.2196958950,726.7421485275,23.4775473675,Pérdida
13,Huehuetenango,1327,Aguacatán,29.2442559500,0.4631563000,28.7810996500,Municipio,28.7810996500,7.3110639875,0.1157890750,7.1952749125,Pérdida
13,Huehuetenango,1328,San Rafael Pétzal,4.9394372100,0.7491816900,4.1902555200,Municipio,4.1902555200,1.2348593025,0.1872954225,1.0475638800,Pérdida
13,Huehuetenango,1329,San Gaspar Ixchil,4.2282722800,0.6311945400,3.5970777400,Municipio,3.5970777400,1.0570680700,0.1577986350,0.8992694350,Pérdida
13,Huehuetenango,1330,Santiago Chimaltenango,7.3827726200,5.5186359600,1.8641366600,Municipio,1.8641366600,1.8456931550,1.3796589900,0.4660341650,Pérdida
13,Huehuetenango,1331,Santa Ana Huista,9.5624877600,0.2584681300,9.3040196300,Municipio,9.3040196300,2.3906219400,0.0646170325,2.3260049075,Pérdida
13,Huehuetenango,1332,Unión Cantinil,8.7918464000,0.0000000000,8.7918464000,Municipio,8.7918464000,2.1979616000,0.0000000000,2.1979616000,Pérdida
