escenario,regla,multiplicador_perdida_bruta,multiplicador_recuperacion,resultado_inferior_ha_periodo_base,resultado_superior_ha_periodo_base,resultado_inferior_anual_ha,resultado_superior_anual_ha,resultado_inferior_decada_ha,resultado_superior_decada_ha
Contención proporcional,Deforestación bruta,0.2500000000,0.2500000000,61098.6424605950,61098.6424605950,15274.6606151488,15274.6606151488,152746.6061514875,152746.6061514875
Contención proporcional,Saldo ponderado por recuperación,0.2500000000,0.2500000000,29118.3078915390,30997.0069610903,7279.5769728847,7749.2517402726,72795.7697288475,77492.5174027258
Contención proporcional,Pérdida neta reportada,0.2500000000,0.2500000000,13184.1066323400,13184.1066323400,3296.0266580850,3296.0266580850,32960.2665808500,32960.2665808500
Continuidad,Deforestación bruta,1.0000000000,1.0000000000,244394.5698423800,244394.5698423800,61098.6424605950,61098.6424605950,610986.4246059500,610986.4246059500
Continuidad,Saldo ponderado por recuperación,1.0000000000,1.0000000000,116473.2315661560,123988.0278443613,29118.3078915390,30997.0069610903,291183.0789153900,309970.0696109034
Continuidad,Pérdida neta reportada,1.0000000000,1.0000000000,52736.4265293600,52736.4265293600,13184.1066323400,13184.1066323400,131841.0663234000,131841.0663234000
Deterioro proporcional acelerado,Deforestación bruta,2.0000000000,2.0000000000,488789.1396847600,488789.1396847600,122197.2849211900,122197.2849211900,1221972.8492119000,1221972.8492119000
Deterioro proporcional acelerado,Saldo ponderado por recuperación,2.0000000000,2.0000000000,232946.4631323120,247976.0556887227,58236.6157830780,61994.0139221807,582366.1578307800,619940.1392218068
Deterioro proporcional acelerado,Pérdida neta reportada,2.0000000000,2.0000000000,105472.8530587200,105472.8530587200,26368.2132646800,26368.2132646800,263682.1326468000,263682.1326468000
