cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,proporcion_regeneracion_equivalente_aplicada_min,proporcion_regeneracion_equivalente_aplicada_max,en_dominio_recuperacion,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha
3,Sacatepéquez,309,Santa Lucía Milpas Altas,3.6619086000,0.0000000000,3.6619086000,Municipio,1.0000000000,1.0000000000,False,3.6619086000,3.6619086000
3,Sacatepéquez,310,Magdalena Milpas Altas,9.7828063200,5.4571704100,4.3256359100,Municipio,1.0000000000,1.0000000000,False,4.3256359100,4.3256359100
3,Sacatepéquez,311,Santa María de Jesús,28.2830451100,30.4740045500,-2.1909594400,Municipio,1.0000000000,1.0000000000,False,-2.1909594400,-2.1909594400
3,Sacatepéquez,312,Ciudad Vieja,12.8273029400,0.0000000000,12.8273029400,Municipio,1.0000000000,1.0000000000,False,12.8273029400,12.8273029400
3,Sacatepéquez,313,San Miguel Dueñas,16.4485026300,0.1731786700,16.2753239600,Municipio,1.0000000000,1.0000000000,False,16.2753239600,16.2753239600
3,Sacatepéquez,314,Alotenango,61.1338522600,1.2085310700,59.9253211900,Municipio,1.0000000000,1.0000000000,False,59.9253211900,59.9253211900
3,Sacatepéquez,315,San Antonio Aguas Calientes,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
3,Sacatepéquez,316,Santa Catarina Barahona,2.2726021200,0.1731303000,2.0994718200,Municipio,1.0000000000,1.0000000000,False,2.0994718200,2.0994718200
4,Chimaltenango,401,Chimaltenango,70.3238817700,1.2299508300,69.0939309400,Municipio,1.0000000000,1.0000000000,False,69.0939309400,69.0939309400
4,Chimaltenango,402,San José Poaquil,95.9990703800,2.0262966700,93.9727737100,Municipio,1.0000000000,1.0000000000,False,93.9727737100,93.9727737100
4,Chimaltenango,403,San Martín Jilotepeque,2376.4454345500,13.4644113900,2362.9810231600,Municipio,1.0000000000,1.0000000000,False,2362.9810231600,2362.9810231600
4,Chimaltenango,404,Comalapa,102.1366062100,1.3838821200,100.7527240900,Municipio,1.0000000000,1.0000000000,False,100.7527240900,100.7527240900
4,Chimaltenango,405,Santa Apolonia,139.0920619700,0.0864687500,139.0055932200,Municipio,1.0000000000,1.0000000000,False,139.0055932200,139.0055932200
4,Chimaltenango,406,Tecpán Guatemala,387.3975805100,3.7182183100,383.6793622000,Municipio,1.0000000000,1.0000000000,False,383.6793622000,383.6793622000
4,Chimaltenango,407,Patzún,646.7943010700,0.9519303600,645.8423707100,Municipio,1.0000000000,1.0000000000,False,645.8423707100,645.8423707100
4,Chimaltenango,408,Pochuta,54.8250238000,142.8851521300,-88.0601283300,Municipio,0.5930000000,0.7660000000,True,-54.6250027316,-29.9058714131
4,Chimaltenango,409,Patzicía,59.0337953100,57.6561853300,1.3776099800,Municipio,1.0000000000,1.0000000000,False,1.3776099800,1.3776099800
4,Chimaltenango,410,Santa Cruz Balanyá,7.2967120300,0.0000000000,7.2967120300,Municipio,1.0000000000,1.0000000000,False,7.2967120300,7.2967120300
4,Chimaltenango,411,Acatenango,37.7131013700,123.6121203500,-85.8990189800,Municipio,1.0000000000,1.0000000000,False,-85.8990189800,-85.8990189800
4,Chimaltenango,412,Yepocapa,145.7370868400,854.3540643200,-708.6169774800,Municipio,0.5930000000,0.7660000000,True,-508.6981264291,-360.8948733018
4,Chimaltenango,413,San Andrés Itzapa,195.4233695100,217.1796852500,-21.7563157400,Municipio,1.0000000000,1.0000000000,False,-21.7563157400,-21.7563157400
4,Chimaltenango,414,Parramos,25.0806163200,0.0000000000,25.0806163200,Municipio,1.0000000000,1.0000000000,False,25.0806163200,25.0806163200
4,Chimaltenango,415,Zaragoza,69.6013226600,0.0000000000,69.6013226600,Municipio,1.0000000000,1.0000000000,False,69.6013226600,69.6013226600
4,Chimaltenango,416,El Tejar,50.6055730200,0.0000000000,50.6055730200,Municipio,1.0000000000,1.0000000000,False,50.6055730200,50.6055730200
5,Escuintla,501,Escuintla,2408.1741619400,7.3018602500,2400.8723016900,Municipio,0.5930000000,0.7660000000,True,2402.5809369885,2403.8441588117
5,Escuintla,502,Santa Lucia Cotzulmalguapa,580.9621108100,307.5081228100,273.4539880000,Municipio,0.5930000000,0.7660000000,True,345.4108887375,398.6097939837
5,Escuintla,503,La Democracia,75.8541547600,13.7726750400,62.0814797200,Municipio,0.5930000000,0.7660000000,True,65.3042856794,67.6869584613
5,Escuintla,504,Siquinalá,629.5501142700,146.2670912000,483.2830230700,Municipio,0.5930000000,0.7660000000,True,517.5095224108,542.8137291884
5,Escuintla,505,Masagua,108.7756767800,276.1844012300,-167.4087244500,Municipio,0.5930000000,0.7660000000,True,-102.7815745622,-55.0016731494
5,Escuintla,506,Tiquisate,209.3021312000,226.8086237800,-17.5064925800,Municipio,0.5930000000,0.7660000000,True,35.5667253845,74.8046172985
5,Escuintla,507,La Gomera,55.1958635200,79.9825030200,-24.7866395000,Municipio,0.5930000000,0.7660000000,True,-6.0707337933,7.7662392291
5,Escuintla,508,Guanagazapa,117.4261655800,122.9175068500,-5.4913412700,Municipio,0.5930000000,0.7660000000,True,23.2713553329,44.5360840180
5,Escuintla,509,San José,256.1328370800,421.1146116300,-164.9817745500,Municipio,0.5930000000,0.7660000000,True,-66.4409554286,6.4118723834
5,Escuintla,510,Iztapa,122.5761984000,122.0908356900,0.4853627100,Municipio,0.5930000000,0.7660000000,True,29.0546182615,50.1763328358
5,Escuintla,511,Palín,44.9921156500,0.0000000000,44.9921156500,Municipio,1.0000000000,1.0000000000,False,44.9921156500,44.9921156500
5,Escuintla,512,San Vicente Pacaya,129.4068359500,1.2998668000,128.1069691500,Municipio,1.0000000000,1.0000000000,False,128.1069691500,128.1069691500
5,Escuintla,513,Nueva Concepción,197.3482140100,133.0454813300,64.3027326800,Municipio,0.5930000000,0.7660000000,True,95.4353753112,118.4522435813
5,Escuintla,514,Sipacate,747.0403161900,133.5192672300,613.5210489600,Municipio,0.5930000000,0.7660000000,True,644.7645574918,667.8633907226
6,Santa Rosa,601,Cuilapa,37.3235235400,21.6363608100,15.6871627300,Municipio,1.0000000000,1.0000000000,False,15.6871627300,15.6871627300
6,Santa Rosa,602,Barberena,225.6156078100,38.0385724400,187.5770353700,Municipio,1.0000000000,1.0000000000,False,187.5770353700,187.5770353700
6,Santa Rosa,603,Santa Rosa de Lima,38.9457423900,2.2516392400,36.6941031500,Municipio,1.0000000000,1.0000000000,False,36.6941031500,36.6941031500
6,Santa Rosa,604,Casillas,94.2631862300,22.6957084500,71.5674777800,Municipio,1.0000000000,1.0000000000,False,71.5674777800,71.5674777800
6,Santa Rosa,605,San Rafael Las Flores,2.5154777600,2.3383157800,0.1771619800,Municipio,1.0000000000,1.0000000000,False,0.1771619800,0.1771619800
6,Santa Rosa,606,Oratorio,255.9001529200,145.1905072300,110.7096456900,Municipio,1.0000000000,1.0000000000,False,110.7096456900,110.7096456900
6,Santa Rosa,607,San Juan Tecuaco,53.0078365600,0.3470280200,52.6608085400,Municipio,0.5930000000,0.7660000000,True,52.7420130967,52.8020489441
6,Santa Rosa,608,Chiquimulilla,612.4753194900,764.3082825200,-151.8329630300,Municipio,0.5930000000,0.7660000000,True,27.0151750797,159.2405079556
6,Santa Rosa,609,Taxisco,336.3816820800,740.2429562100,-403.8612741300,Municipio,0.5930000000,0.7660000000,True,-230.6444223769,-102.5823909525
6,Santa Rosa,610,Santa María Ixhuatán,69.0022304400,28.6197255200,40.3825049200,Municipio,0.5930000000,0.7660000000,True,47.0795206917,52.0307332066
6,Santa Rosa,611,Guazacapán,49.2144204400,119.3865999100,-70.1721794700,Municipio,0.5930000000,0.7660000000,True,-42.2357150911,-21.5818333066
6,Santa Rosa,612,Santa Cruz Naranjo,4.5918903700,0.4253503500,4.1665400200,Municipio,1.0000000000,1.0000000000,False,4.1665400200,4.1665400200
6,Santa Rosa,613,Pueblo Nuevo Viñas,120.3226060100,3.9370405800,116.3855654300,Municipio,1.0000000000,1.0000000000,False,116.3855654300,116.3855654300
6,Santa Rosa,614,Nueva Santa Rosa,3.9850300700,0.7795062400,3.2055238300,Municipio,1.0000000000,1.0000000000,False,3.2055238300,3.2055238300
7,Sololá,,Lago de Atitlán,17.3878970800,8.5690357900,8.8188612900,Unidad lacustre no municipal,1.0000000000,1.0000000000,False,8.8188612900,8.8188612900
7,Sololá,701,Sololá,10.1321868200,0.0000000000,10.1321868200,Municipio,1.0000000000,1.0000000000,False,10.1321868200,10.1321868200
7,Sololá,702,San José Chacayá,4.7382438100,0.0000000000,4.7382438100,Municipio,1.0000000000,1.0000000000,False,4.7382438100,4.7382438100
7,Sololá,703,Santa María Visitación,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
7,Sololá,704,Santa Lucía Utatlán,11.6975280900,0.0000000000,11.6975280900,Municipio,1.0000000000,1.0000000000,False,11.6975280900,11.6975280900
7,Sololá,705,Nahualá,20.7927290900,0.0250714300,20.7676576600,Municipio,1.0000000000,1.0000000000,False,20.7676576600,20.7676576600
7,Sololá,706,Santa Catarina Ixtahuacán,5.8823219200,0.3460763500,5.5362455700,Municipio,1.0000000000,1.0000000000,False,5.5362455700,5.5362455700
7,Sololá,707,Santa Clara La Laguna,25.9488192300,0.0000000000,25.9488192300,Municipio,1.0000000000,1.0000000000,False,25.9488192300,25.9488192300
7,Sololá,708,Concepción,7.3515610100,0.2594614200,7.0920995900,Municipio,1.0000000000,1.0000000000,False,7.0920995900,7.0920995900
