regla,proporcion_recuperacion,resultado_inferior_ha,resultado_superior_ha,resultado_inferior_anual_ha,resultado_superior_anual_ha,flujo_anual_inferior_gtq,vp_cohorte_inferior_gtq,vp_diez_cohortes_inferior_gtq,flujo_anual_superior_gtq,vp_cohorte_superior_gtq,vp_diez_cohortes_superior_gtq,valor_unitario_gtq_ha_anio,tasa_descuento,horizonte_servicios_anios,numero_cohortes
Deforestación bruta,0,244394.5698423800,244394.5698423800,61098.6424605950,61098.6424605950,1832135543.6041207314,28621767929.7878761292,232148176699.3955383301,1832135543.6041207314,28621767929.7878761292,232148176699.3955383301,29986.5180275607,0.0400000000,25,10
Saldo ponderado por recuperación,rho20 dentro del dominio; 1 fuera,116473.2315661560,123988.0278443613,29118.3078915390,30997.0069610903,873156664.5216985941,13640523216.4895458221,110636862184.8193206787,929492308.0391614437,14520603143.1963691711,117775098747.8407440186,29986.5180275607,0.0400000000,25,10
Pérdida neta institucional,1,52736.4265293600,52736.4265293600,13184.1066323400,13184.1066323400,395345451.2079466581,6176118244.1292791367,50093851399.1057510376,395345451.2079466581,6176118244.1292791367,50093851399.1057510376,29986.5180275607,0.0400000000,25,10
