cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,grupo_territorial_id,proporcion_grupo_id,grupo_territorial_nombre,sitios_referencia,intervalo_proporcion_regeneracion_equivalente,proporcion_regeneracion_equivalente_min,proporcion_regeneracion_equivalente_central,proporcion_regeneracion_equivalente_max,tratamiento_intervalo,fundamento_vinculacion_sitios,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha,saldo_ponderado_central_ha,clasificacion_perdida_neta_reportada,clasificacion_ponderada,brecha_ponderacion_inferior_ha,brecha_ponderacion_superior_ha,proporcion_regeneracion_equivalente_critica
2,El Progreso,208,San Antonio La Paz,5.1037416700,1.7436921100,3.3600495600,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,3.9703417985,4.6678186425,4.3190802205,Pérdida,Pérdida,0.6102922385,1.3077690825,2.9269741147
4,Chimaltenango,408,Pochuta,54.8250238000,142.8851521300,-88.0601283300,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-54.6250027316,-29.9058714131,-42.2654370723,Ganancia,Ganancia,33.4351255984,58.1542569169,0.3836999365
4,Chimaltenango,412,Yepocapa,145.7370868400,854.3540643200,-708.6169774800,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-508.6981264291,-360.8948733018,-434.7964998654,Ganancia,Ganancia,199.9188510509,347.7221041782,0.1705816042
5,Escuintla,501,Escuintla,2408.1741619400,7.3018602500,2400.8723016900,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,2402.5809369885,2403.8441588117,2403.2125479001,Pérdida,Pérdida,1.7086352985,2.9718571217,329.8028282505
5,Escuintla,502,Santa Lucia Cotzulmalguapa,580.9621108100,307.5081228100,273.4539880000,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,345.4108887375,398.6097939837,372.0103413606,Pérdida,Pérdida,71.9569007375,125.1558059837,1.8892577715
5,Escuintla,503,La Democracia,75.8541547600,13.7726750400,62.0814797200,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,65.3042856794,67.6869584613,66.4956220703,Pérdida,Pérdida,3.2228059594,5.6054787413,5.5075832792
5,Escuintla,504,Siquinalá,629.5501142700,146.2670912000,483.2830230700,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,517.5095224108,542.8137291884,530.1616257996,Pérdida,Pérdida,34.2264993408,59.5307061184,4.3041131748
5,Escuintla,505,Masagua,108.7756767800,276.1844012300,-167.4087244500,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-102.7815745622,-55.0016731494,-78.8916238558,Ganancia,Ganancia,64.6271498878,112.4070513006,0.3938516306
5,Escuintla,506,Tiquisate,209.3021312000,226.8086237800,-17.5064925800,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,35.5667253845,74.8046172985,55.1856713415,Ganancia,Pérdida,53.0732179645,92.3111098785,0.9228138142
5,Escuintla,507,La Gomera,55.1958635200,79.9825030200,-24.7866395000,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-6.0707337933,7.7662392291,0.8477527179,Ganancia,Indeterminado,18.7159057067,32.5528787291,0.6900992272
5,Escuintla,508,Guanagazapa,117.4261655800,122.9175068500,-5.4913412700,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,23.2713553329,44.5360840180,33.9037196754,Ganancia,Pérdida,28.7626966029,50.0274252879,0.9553249866
5,Escuintla,509,San José,256.1328370800,421.1146116300,-164.9817745500,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-66.4409554286,6.4118723834,-30.0145415226,Ganancia,Indeterminado,98.5408191214,171.3936469334,0.6082259556
5,Escuintla,510,Iztapa,122.5761984000,122.0908356900,0.4853627100,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,29.0546182615,50.1763328358,39.6154755486,Pérdida,Pérdida,28.5692555515,49.6909701258,1.0039754229
