escenario,regla,multiplicador_perdida_bruta,multiplicador_recuperacion,resultado_inferior_ha_periodo_base,resultado_superior_ha_periodo_base,resultado_inferior_anual_ha,resultado_superior_anual_ha,resultado_inferior_decada_ha,resultado_superior_decada_ha,flujo_anual_inferior_gtq,vp_decada_inferior_gtq,flujo_anual_superior_gtq,vp_decada_superior_gtq
Contención proporcional,Deforestación bruta,0.2500000000,0.2500000000,61098.6424605950,61098.6424605950,15274.6606151488,15274.6606151488,152746.6061514875,152746.6061514875,458033885.9010301828,58037044174.8488845825,458033885.9010301828,58037044174.8488845825
Contención proporcional,Saldo ponderado por recuperación,0.2500000000,0.2500000000,29118.3078915390,30997.0069610903,7279.5769728847,7749.2517402726,72795.7697288475,77492.5174027258,218289166.1304246485,27659215546.2048301697,232373077.0097903609,29443774686.9601860046
Contención proporcional,Pérdida neta reportada,0.2500000000,0.2500000000,13184.1066323400,13184.1066323400,3296.0266580850,3296.0266580850,32960.2665808500,32960.2665808500,98836362.8019866645,12523462849.7764377594,98836362.8019866645,12523462849.7764377594
Continuidad,Deforestación bruta,1.0000000000,1.0000000000,244394.5698423800,244394.5698423800,61098.6424605950,61098.6424605950,610986.4246059500,610986.4246059500,1832135543.6041207314,232148176699.3955383301,1832135543.6041207314,232148176699.3955383301
Continuidad,Saldo ponderado por recuperación,1.0000000000,1.0000000000,116473.2315661560,123988.0278443613,29118.3078915390,30997.0069610903,291183.0789153900,309970.0696109034,873156664.5216985941,110636862184.8193206787,929492308.0391614437,117775098747.8407440186
Continuidad,Pérdida neta reportada,1.0000000000,1.0000000000,52736.4265293600,52736.4265293600,13184.1066323400,13184.1066323400,131841.0663234000,131841.0663234000,395345451.2079466581,50093851399.1057510376,395345451.2079466581,50093851399.1057510376
Deterioro proporcional acelerado,Deforestación bruta,2.0000000000,2.0000000000,488789.1396847600,488789.1396847600,122197.2849211900,122197.2849211900,1221972.8492119000,1221972.8492119000,3664271087.2082414627,464296353398.7910766602,3664271087.2082414627,464296353398.7910766602
Deterioro proporcional acelerado,Saldo ponderado por recuperación,2.0000000000,2.0000000000,232946.4631323120,247976.0556887227,58236.6157830780,61994.0139221807,582366.1578307800,619940.1392218068,1746313329.0433971882,221273724369.6386413574,1858984616.0783228874,235550197495.6814880371
Deterioro proporcional acelerado,Pérdida neta reportada,2.0000000000,2.0000000000,105472.8530587200,105472.8530587200,26368.2132646800,26368.2132646800,263682.1326468000,263682.1326468000,790690902.4158933163,100187702798.2115020752,790690902.4158933163,100187702798.2115020752
