regla,tasa,vp_cohorte_inferior_gtq,vp_cohorte_superior_gtq
Deforestación bruta,0.0200000000,35769618539.2649765015,35769618539.2649765015
Deforestación bruta,0.0400000000,28621767929.7878761292,28621767929.7878761292
Deforestación bruta,0.0500000000,25822016789.0367622375,25822016789.0367622375
Saldo ponderado por recuperación,0.0200000000,17047036134.4109630585,18146902618.5356101990
Saldo ponderado por recuperación,0.0400000000,13640523216.4895458221,14520603143.1963691711
Saldo ponderado por recuperación,0.0500000000,12306221627.2413635254,13100213064.0689430237
Pérdida neta reportada,0.0200000000,7718509708.6885862350,7718509708.6885862350
Pérdida neta reportada,0.0400000000,6176118244.1292791367,6176118244.1292791367
Pérdida neta reportada,0.0500000000,5571976873.7627544403,5571976873.7627544403
