proporcion_region_id,region_nombre,site_id,site_name,country,rainfall_mm,relative_recovery_pct_20y,uso_sitio,regla_intervalo,redondeo,fuente_verificacion,source_locator,version_metodo
REG-PET-N,"Norte de Petén, bosque estacional sobre calizas",quintana_roo,Quintana Roo,Mexico,1250,66.4000000000,numerico,minimo_maximo,ninguno,tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-PET-N,"Norte de Petén, bosque estacional sobre calizas",yucatan,Yucatán,Mexico,1100,66.7000000000,numerico,minimo_maximo,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-PET-FTN,Sur de Petén y tierras bajas de la FTN,chajul,Chajul,Mexico,3000,59.4000000000,numerico,valor_unico,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-TB-HUM,"Tierras bajas húmedas del Caribe, Izabal y Pacífico",barro_colorado_island,Barro Colorado Island,Panama,2600,59.3000000000,numerico,minimo_maximo,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-TB-HUM,"Tierras bajas húmedas del Caribe, Izabal y Pacífico",sarapiqui_chazdon,Sarapiquí (Chazdon),Costa Rica,4000,59.6000000000,numerico,minimo_maximo,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-TB-HUM,"Tierras bajas húmedas del Caribe, Izabal y Pacífico",sarapiqui_letcher,Sarapiquí (Letcher),Costa Rica,4000,76.6000000000,numerico,minimo_maximo,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-ORI-EST,Bosques estacionales de Oriente,el_ocote_1,El Ocote 1,Mexico,1500,33.6000000000,numerico,minimo_maximo,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-ORI-EST,Bosques estacionales de Oriente,el_ocote_2,El Ocote 2,Mexico,2000,62.3000000000,numerico,minimo_maximo,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-ORI-EST,Bosques estacionales de Oriente,santa_rosa,Santa Rosa,Costa Rica,1765,84.9000000000,numerico,minimo_maximo,ninguno,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,salvatierra,Salvatierra,Bolivia,1200,29.5000000000,numerico,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
